road,id,model_type,condition,name,lat,lon,length
N1,1000000,sourcesink,Z,Chittagong,22.3586667,91.7822771,7080.770614416474
N1,1000001,link,Z,End of Bituminous Road,22.3691382,91.777666,1257.2227698060774
N1,1000002,bridge,A,CORNAIL HAT BOX CULVERT,22.3696841276595,91.7739258709219,3.0
N1,1000003,link,Z,Km post missing,22.369166,91.7741938,357.05146819622286
N1,1000004,link,Z,Bridge end,22.3762254893617,91.77054326631206,870.1105768737781
N1,1000005,bridge,A,GLAXO BOX CULVERT,22.3797011826666,91.7670476533333,8.3
N1,1000006,link,Z,Km post missing,22.379166,91.7675827,446.7374269138771
N1,1000007,bridge,A,PAKKA MATA BOX CULVERT,22.38524588272,91.76250565776,3.0
N1,1000008,link,Z,Km post missing,22.3861663,91.7618333,977.4197746225839
N1,1000009,link,Z,Bridge end,22.3887497,91.7607222,309.14220269588844
N1,1000010,link,Z,Bridge start,22.3892497,91.7605,60.10801764533143
N1,1000011,bridge,A,GAMMON BRIDGE,22.3927175345622,91.7590882138248,18.0
N1,1000012,link,Z,Box culvert,22.3921108,91.75925,343.11652593160187
N1,1000013,bridge,A,T. B HOSPITAL GATE BOX CULVERT,22.3963398830265,91.7582551580777,3.0
N1,1000014,link,Z,Km post missing,22.3944997,91.7586944,271.7057413773457
N1,1000015,link,Z,Bridge end,22.3988052,91.7576667,490.269642663752
N1,1000016,bridge,A,VATIARI CULVERT,22.4030145445,91.75657411625,5.0
N1,1000017,link,Z,Km post missing,22.4032222,91.7565278,504.91079438479096
N1,1000018,link,Z,Start of Bituminous Pavement,22.40839921010101,91.75514357643098,592.9841996332926
N1,1000019,link,Z,Box culvert,22.4084167,91.7551389,2.0033228427001317
N1,1000020,link,Z,Km post missing,22.4119167,91.7543611,397.31063389418716
N1,1000021,link,Z,Bridge end,22.4182771,91.7506667,802.7532082657673
N1,1000022,link,Z,Bridge start,22.4185549,91.7504722,36.7954435136609
N1,1000023,bridge,B,DHAMAKHALI BRIDGE,22.4220415536,91.7480209792,35.1
N1,1000024,link,Z,Km post missing,22.4198882,91.7497774,164.5617234726871
N1,1000025,link,Z,Km post missing,22.4269716,91.7439997,986.4389026810201
N1,1000026,link,Z,Bridge end,22.4304438,91.7417219,451.5292501790795
N1,1000027,link,Z,Bridge start,22.4307493,91.7415274,39.41585707810519
N1,1000028,link,Z,Box culvert,22.4333049,91.7403608,308.4307531503891
N1,1000029,bridge,A,HASNA BAD BOX CULVERT,22.4375035216216,91.7386659473513,3.0
N1,1000030,bridge,A,VATERIE BRIDGE,22.4350737918918,91.7396527192432,40.0
N1,1000031,link,Z,Km post missing,22.4349719,91.7396941,197.6220377332192
N1,1000032,bridge,C,SALAKHARPAD BRIDGE,22.4460793332411,91.7353674287057,26.3
N1,1000033,link,Z,Km post missing,22.4433886,91.7364163,994.6785471516945
N1,1000034,bridge,A,KODOM RASUL BOX CULVERT,22.4488628503871,91.7342823894358,3.0
N1,1000035,link,Z,Info.Missing,22.45182350044248,91.7331283022124,996.9307948789793
N1,1000036,link,Z,Bridge end,22.4586389,91.7304716,805.5149934094837
N1,1000037,bridge,B,SHLAKHAR PAD BRIDGE,22.4624386352,91.7285307,23.2
N1,1000038,bridge,D,Modonhat Bridge,22.4624386352,91.7285307,24.32
N1,1000039,link,Z,Km post missing,22.4603056,91.7295827,206.61660780626704
N1,1000040,link,Z,Ctg 22 km,22.468416,91.7255827,991.0860348761203
N1,1000041,bridge,A,HATIBORI BOX CULVERT,22.4728530893544,91.7232633541336,6.0
N1,1000042,link,Z,Box culvert,22.4694438,91.7250549,126.50134175250685
N1,1000043,link,Z,Info.Missing,22.4765271,91.7213327,875.5747523871925
N1,1000044,link,Z,Bridge end,22.4773049,91.7211104,89.45265278796792
N1,1000045,bridge,B,MUDDO SONAISORI BRIDGE,22.4811642144766,91.7203633632516,23.2
N1,1000046,bridge,D,Baro Aulia,22.4811642144766,91.7203633632516,24.33
N1,1000047,link,Z,Bridge start,22.4775271,91.7210549,25.357040868395217
N1,1000048,bridge,A,BARAOWLLA BOX CULVERT,22.4855480068965,91.7195309517241,4.5
N1,1000049,link,Z,Ctg 24 km,22.4854163,91.7195549,890.6740422859184
N1,1000050,bridge,B,GORA MARI BOX CULVERT,22.4904405976324,91.7182726733934,3.0
N1,1000051,link,Z,Km post missing,22.494583,91.7170827,1050.4588161338822
N1,1000052,link,Z,Bridge end,22.4968052,91.7156389,288.197977368892
N1,1000053,bridge,A,GORA MARA RCC GIRDER BRIDGE,22.5000858335766,91.7141504905109,17.6
N1,1000054,link,Z,Km post missing,22.5025556,91.7130556,692.3012819782957
N1,1000055,link,Z,Box culvert,22.503,91.7128056,55.69037846594715
N1,1000056,bridge,A,ROYL CIMINT GATE CULVETRT,22.5060220437735,91.7112848218867,4.5
N1,1000057,link,Z,Bridge end,22.5073056,91.7106389,527.9707369711448
N1,1000058,link,Z,Bridge start,22.5074444,91.7105556,17.647276458382887
N1,1000059,bridge,A,Chotokumir Bridge,22.5113471164122,91.7087907889313,41.11
N1,1000060,bridge,C,BORO KUMIRA BRIDGE,22.5113471164122,91.7087907889313,27.0
N1,1000061,link,Z,Km post missing,22.5106111,91.7090833,383.22694034332307
N1,1000062,link,Z,Bridge end,22.5127778,91.7082222,256.65046233757676
N1,1000063,link,Z,Bridge start,22.5131389,91.7080833,42.61216915615143
N1,1000064,link,Z,Box culvert,22.5147222,91.7074444,187.88926919222345
N1,1000065,link,Z,Bridge end,22.5161667,91.70675,175.74654124386305
N1,1000066,link,Z,Ctg 28 km,22.5187216,91.7055556,309.45127926779446
N1,1000067,link,Z,Bridge end,22.519265407228914,91.70540328072288,62.45991279302457
N1,1000068,bridge,B,KYSTELGATE ARCH,22.5229359167189,91.7038366163009,16.3
N1,1000069,link,Z,Bridge start,22.519416,91.7053611,17.2965885077961
N1,1000070,bridge,A,GULAM JUTE MILE BOX CULVERT,22.5303678038461,91.7004641228571,3.0
N1,1000071,link,Z,Km post missing,22.5273049,91.7019444,944.8011232523174
N1,1000072,bridge,A,SOTTANA MONDIR CULVERT,22.5390300234693,91.6965452744898,8.2
N1,1000073,link,Z,Ctg 30 km,22.5354997,91.6979441,999.564122979097
N1,1000074,bridge,A,SOUTH BALSH KHALI BOX CULVERT,22.5467727210909,91.6926260603636,3.0
N1,1000075,bridge,A,DOKHIN BASH-KHALI BOX CULVERT,22.5444897756363,91.6941310785454,5.2
N1,1000076,link,Z,Km post missing,22.5438886,91.6945274,996.6202542731211
N1,1000077,bridge,B,BARSH BARIA BRIDGE,22.5543319776357,91.6887963149094,21.6
N1,1000078,link,Z,Ctg 32 km,22.5514167,91.6896941,973.1825482108721
N1,1000079,bridge,A,OHIDPUR BOX CULVERT,22.5585210862619,91.687506242492,4.1
N1,1000080,link,Z,Km post missing,22.5594444,91.6872219,928.0381249195021
N1,1000081,link,Z,Box culvert,22.5624722,91.6863608,348.09373246370404
N1,1000082,link,Z,Bridge end,22.564,91.6859441,175.1892652415261
N1,1000083,link,Z,Bridge start,22.5641389,91.6859163,15.706557312390908
N1,1000084,bridge,A,PHPMORE BON CULVERT,22.5702905930578,91.6840096656198,3.0
N1,1000085,bridge,A,CHARA KANDI BOX CULVERT,22.5679968064462,91.6846866604958,8.2
N1,1000086,bridge,A,R. R TEXTAIL BOX CULVERT,22.5664212916363,91.6851826636363,4.5
N1,1000087,link,Z,Km post missing,22.5679716,91.6846941,444.27049007727425
N1,1000088,bridge,A,BARO-CUNDHOW BOX CULVERT,22.5767930229508,91.68162274153,10.2
N1,1000089,link,Z,Km post missing,22.5763604,91.6818049,978.8282839091426
N1,1000090,link,Z,Box culvert,22.5779438,91.6811382,188.9046610363214
N1,1000091,bridge,A,BAROGINDO CULVERT,22.5815086746355,91.6795390413994,2.5
N1,1000092,link,Z,Road to Katirhat (Z1087),22.580666,91.6799438,326.592325432537
N1,1000093,link,Z,Bridge end,22.5834997,91.6785827,344.69106380838934
N1,1000094,bridge,C,BAROCONDO BRIDGE,22.5870350167767,91.6770444686922,22.25
N1,1000095,link,Z,Info.Missing,22.584583,91.6780827,130.93964249159768
N1,1000096,bridge,A,HATILOTA BOX CULVERT,22.5938881803921,91.6738889367647,4.5
N1,1000097,link,Z,Km post missing,22.5939997,91.6738327,1134.360544724105
N1,1000098,link,Z,Box culvert,22.5942219,91.6737771,25.358266793580565
N1,1000099,bridge,B,SKM BOX CULVERT(1),22.5971665766519,91.671819207489,9.3
N1,1000100,link,Z,Box culvert,22.5994441,91.6703049,681.3584519894077
N1,1000101,link,Z,Box culvert,22.6000556,91.6699438,77.4438153138557
N1,1000102,bridge,A,DOKHIN MOHADEB PUR BOX CULVERT,22.6038394411764,91.6673745588235,2.95
N1,1000103,bridge,B,KALIAVA BOX CULVERT,22.6023506949579,91.6683367336134,4.5
N1,1000104,link,Z,Ctg 38 km,22.6015833,91.6688327,204.6130792445209
N1,1000105,link,Z,Km post missing,22.6094444,91.6638333,1013.6318751267906
N1,1000106,bridge,A,MADICAL MORE CULVERT,22.6117556741935,91.6625686731182,3.0
N1,1000107,link,Z,Box culvert,22.6123889,91.6622222,366.80913182150044
N1,1000108,bridge,A,PURBOMOHADAB PUR SLAB CULVERT(L),22.6149899686274,91.6602670503268,4.6
N1,1000109,bridge,A,DULAHAJRA(R),22.6149899686274,91.6602670503268,4.6
N1,1000110,link,Z,"Ctg 40 km,Sitakanda 0 km",22.6169716,91.65875,621.8434399751661
N1,1000111,bridge,A,MOHADAB PUR BOX CULVERT,22.6177563490118,91.6580589438735,3.0
N1,1000112,link,Z,Box culvert,22.6175271,91.65825,80.30753682201134
N1,1000113,link,Z,Bridge end / Box culvert,22.6180271,91.6578333,70.14603572880655
N1,1000114,link,Z,Bridge start,22.6194993,91.6568889,190.24863099620725
N1,1000115,link,Z,Box culvert,22.6206938,91.6563611,143.44547602116697
N1,1000116,bridge,A,EGOL PUR BOX CULVERT,22.6281666352941,91.6527578258312,3.0
N1,1000117,bridge,A,SITAKUNDA SLAB,22.6230461711711,91.6554672531531,3.0
N1,1000118,bridge,B,UTTOR SITAKONDO BAZAR BOX CULVERT,22.6258323373493,91.6541857554217,6.1
N1,1000119,link,Z,Km post missing,22.6252216,91.6545278,537.4827962070317
N1,1000120,bridge,A,KACHAI PATH BOX CULVERT,22.636096590965,91.648209240657,3.0
N1,1000121,bridge,A,KACHAI POTTI BOX CULVERT,22.6343285718685,91.6492077265913,3.0
N1,1000122,link,Z,"Ctg 42 km,Sitakanda 2 km",22.6330827,91.649833,998.1253164448792
N1,1000123,link,Z,Km post missing,22.641583,91.6451108,1062.1924101500754
N1,1000124,bridge,A,NUNA CHARA BOX CULVERT,22.6510709547445,91.6400341194647,4.6
N1,1000125,bridge,A,BOTTOL BOX CULVERT,22.6474561112311,91.6419171170626,12.4
N1,1000126,link,Z,"Ctg 44 km,Sitakanda 4 km",22.6494997,91.640833,983.6877187986871
N1,1000127,link,Z,Box culvert,22.6527778,91.6391663,402.63959273530656
N1,1000128,bridge,A,RONA SORA CULVERT,22.6547124294117,91.6379261764705,3.1
N1,1000129,link,Z,Box culvert,22.6543889,91.6381386,207.88191571080478
N1,1000130,link,Z,Km post missing,22.6571389,91.636333,357.53903811757095
N1,1000131,bridge,A,MIRJA PUR (3) BOX CULVERT,22.6657838981081,91.6311293581081,3.0
N1,1000132,bridge,A,SATU DURUAR HAT BOX CULVERT,22.6615956814814,91.6335257425926,3.0
N1,1000133,link,Z,"Ctg 46 km,Sitakanda 6 km",22.6649167,91.6315549,994.1566683681623
N1,1000134,bridge,A,Tarial Bazar Culvert,22.6699594391304,91.6293531695652,3.0
N1,1000135,link,Z,Box culvert,22.6678604,91.6301104,359.31759582539445
N1,1000136,link,Z,Box culvert,22.6722493,91.6285271,514.3518103086346
N1,1000137,bridge,A,TARAT BOX CULVERT,22.6769772991044,91.6268169453731,6.0
N1,1000138,link,Z,Km post missing,22.6743049,91.6277493,242.10305570174157
N1,1000139,link,Z,"Ctg 48 km,Sitakanda 8 km",22.6825549,91.6241938,987.2258541362118
N1,1000140,bridge,A,BORO KAMALDA BOX CULVERT,22.6868697647058,91.6220385823529,3.2
N1,1000141,link,Z,Box culvert,22.685083,91.6228327,313.8842057921372
N1,1000142,bridge,A,VANGGARPOL BOX CULVERT,22.6912517148148,91.6201690574074,4.2
N1,1000143,link,Z,Km post missing,22.6904163,91.6205271,638.4665435596424
N1,1000144,link,Z,"Ctg 50 km,Sitakanda 10 km",22.6984997,91.616666,982.2377920932767
N1,1000145,link,Z,Box culvert,22.7002222,91.6157778,212.1005302513742
N1,1000146,bridge,A,DUKHIN UTHPAR BOX CULVERT,22.701816503937,91.6149734608923,19.2
N1,1000147,link,Z,Box culvert,22.7033056,91.6142222,378.17417840242035
N1,1000148,link,Z,Km post missing,22.7065556,91.6123611,408.70989315894565
N1,1000149,link,Z,Box Culvert,22.7076111,91.6118056,130.46716823541493
N1,1000150,bridge,C,ISAMATI BOX CULVERT,22.7138727382812,91.6082352218749,19.2
N1,1000151,link,Z,"Ctg 52 km,Sitakhada 12 km",22.7143889,91.6079444,851.386666269445
N1,1000152,link,Z,Box culvert,22.716,91.6069167,207.85787874294934
N1,1000153,bridge,A,MIRZAPUR (2) BOX CULVERT,22.7172707342307,91.6061084846153,3.0
N1,1000154,link,Z,Box culvert,22.7165556,91.6065556,72.03162169135896
N1,1000155,bridge,A,MIRJAPUR BOX CULVERT,22.7178243865384,91.6057623307692,3.0
N1,1000156,link,Z,Km post missing,22.7185549,91.6053056,256.63313500720136
N1,1000157,bridge,A,NIAZAMPUR BOX CULVERT,22.723316755473,91.6024331404452,3.0
N1,1000158,link,Z,Km post missing,22.7263882,91.6007778,987.0875683425542
N1,1000159,link,Z,Km post missing,22.7349997,91.5979441,1000.6857017293142
N1,1000160,link,Z,Box culvert,22.7433052,91.5950274,970.7604597953876
N1,1000161,bridge,B,BOTHAGIA (-3) BOX CULVERT,22.7445136523437,91.5943998915364,8.1
N1,1000162,link,Z,Km post missing,22.7435552,91.5949163,30.042875154412478
N1,1000163,link,Z,Box culvert,22.7496386,91.5916386,755.3476736077537
N1,1000164,bridge,A,VARTAKA BOX CULVERT,22.7535653245121,91.5886004236585,12.9
N1,1000165,bridge,A,VARTAGIA BOX CULVERT,22.7506393495689,91.5908840370689,3.0
N1,1000166,link,Z,Km post missing,22.7513333,91.5903608,229.5198352962843
N1,1000167,link,Z,Km post missing,22.7585278,91.5845274,998.8899899572942
N1,1000168,bridge,A,BOKIMTOLA BOX CULVERT,22.7630626913907,91.5804538821192,4.0
N1,1000169,link,Z,Km post missing,22.7654722,91.5785549,985.5391555973806
N1,1000170,link,Z,Box culvert,22.7661944,91.5779993,98.4586952369156
N1,1000171,bridge,A,IANAINIPOL BOX CULVERT.,22.770251666098,91.5750905211087,9.7
N1,1000172,link,Z,Km post missing,22.7730271,91.5734716,890.3593800930649
N1,1000173,bridge,A,Mirsorai(2) box culvert,22.774197092,91.5728737519999,6.0
N1,1000174,link,Z,Box culvert,22.7732771,91.5733604,30.045824005107992
N1,1000175,link,Z,Road to Narayanhat (Z1021),22.7771104,91.5713327,474.238218418163
N1,1000176,link,Z,Km post missing,22.7812216,91.5695827,491.09110981768595
N1,1000177,bridge,B,MIRAISORI BRIDGE,22.7821968918511,91.5691025661971,23.2
N1,1000178,link,Z,Bridge start,22.7813327,91.5695271,13.605401165119106
N1,1000179,link,Z,Km post missing,22.7893608,91.5655833,979.974568118452
N1,1000180,link,Z,Box culvert,22.7896108,91.5654444,31.233407929650927
N1,1000181,bridge,A,MIRSARAI BOX CUL,22.7941813523326,91.5629612622718,4.5
N1,1000182,link,Z,Km post missing,22.7974719,91.5613611,969.1693118832746
N1,1000183,link,Z,Km post missing,22.8059444,91.5589167,974.8501189958716
N1,1000184,link,Z,Box culvert,22.8059722,91.5589167,3.091218960498995
N1,1000185,link,Z,Box culvert,22.808,91.5579167,247.68572901308406
N1,1000186,bridge,B,MUCHIPOOL CULVERT,22.811563437647,91.5562562129411,9.5
N1,1000187,link,Z,Box culvert,22.8110556,91.5563889,374.1187635716205
N1,1000188,link,Z,Km post missing,22.8141389,91.5555833,352.6504689159085
N1,1000189,link,Z,Km post missing,22.8228049,91.5531389,995.6510781425831
N1,1000190,bridge,C,PURPU DURGAPURE BOX CUL,22.8243706577981,91.5526915454128,12.4
N1,1000191,link,Z,Box culvert,22.8239438,91.5528333,130.45553107982812
N1,1000192,bridge,A,RAIPUR BOX CUL-1,22.8327467692419,91.5501035014577,3.0
N1,1000193,bridge,A,RAIPUR (2) BOX CULVERT,22.8309613422018,91.5505028545871,4.5
N1,1000194,link,Z,Km post missing,22.8313882,91.5503611,865.6863185120434
N1,1000195,link,Z,Pipe culvert,22.8372497,91.5492497,661.646010410453
N1,1000196,bridge,A,MUSTAN NAGAR -4,22.8410943334277,91.5488096951841,3.0
N1,1000197,link,Z,Km post missing,22.8401941,91.5490552,328.00849389665075
N1,1000198,bridge,A,MASTARI HAGOR 3 CULVERT,22.8434551375,91.54814955625,1.5
N1,1000199,link,Z,Box culvert,22.8432497,91.5482219,350.33361481939386
N1,1000200,bridge,A,MUSTAU NOGAR(2),22.8453914894736,91.5474689210526,3.0
N1,1000201,link,Z,Box culvert,22.8452219,91.5475274,230.55742089369193
N1,1000202,bridge,A,MASTANNAGOR BONCUL(1),22.8486172764705,91.5463706117647,8.5
N1,1000203,link,Z,Km post missing,22.8486663,91.5463608,401.22231606900345
N1,1000204,bridge,A,DHARBAR TILA CULVERT,22.8609876872509,91.5451551717131,4.3
N1,1000205,bridge,A,MADDUM SONAPHAR-3,22.8594847882591,91.5454799987854,2.0
N1,1000206,bridge,A,MAMAFOUN ASTANA CULVERT,22.8560565672727,91.5457188709091,1.5
N1,1000207,bridge,A,MAMAFAKIR ASTANA SLAB CULVERT,22.8551475327433,91.5458221849557,1.5
N1,1000208,link,Z,Km post missing,22.8575556,91.5456386,991.2112967432461
N1,1000209,bridge,A,MADDAM SONAPAR(1) BOX CULVERT,22.8680563702127,91.5432963340425,1.5
N1,1000210,link,Z,Km post missing,22.8661111,91.5439997,966.0346777366337
N1,1000211,bridge,A,UTTOR SONAPAR BOX CULVERT,22.8746986941176,91.5408836647058,4.3
N1,1000212,bridge,A,CHAIRMEN BARI BOX CULVERT,22.872722034892,91.5415958766187,2.0
N1,1000213,link,Z,Km post missing,22.8744438,91.5409719,977.1037992504389
N1,1000214,link,Z,Km post missing / Box culvert,22.8829993,91.5381663,993.8002669948728
N1,1000215,bridge,A,BAROYARHAT BOX CULVERT,22.8916386,91.5354719,3.0
N1,1000216,link,Z,Km post missing,22.8916386,91.5354719,999.5130572576437
N1,1000217,link,Z,Box culvert,22.8921663,91.5353052,61.111832605511964
N1,1000218,link,Z,Start of Bituminious Pavement,22.8929719,91.5350274,93.99004393691403
N1,1000219,link,Z,Road to Karerhat (R151),22.8939997,91.5346941,119.27696808335361
N1,1000220,link,Z,End of Bituminous Pavment,22.8994441,91.5336108,615.475561857894
N1,1000221,bridge,A,BOROYAR PARA SLUB CULVERT,22.9042462955223,91.5316297776119,3.0
N1,1000222,link,Z,Km post missing,22.9003333,91.5333608,102.13683084384758
N1,1000223,bridge,A,BUMGAT BOXCULVERT,22.9097128884012,91.5289285034482,6.1
N1,1000224,link,Z,Km post missing,22.9085833,91.5294993,998.9924321031544
N1,1000225,link,Z,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,22.9138056,91.5268604,640.5136168115432
N1,1000226,bridge,A,DumGhat Bridge(L),22.9149647061403,91.5262895350877,222.43
N1,1000227,bridge,B,DHOOM GHAT PC GIRDER,22.9149647061403,91.5262895350877,220.6
N1,1000228,link,Z,Bridge start,22.9156667,91.5259438,227.24281226000085
N1,1000229,link,Z,Km post missing,22.9167216,91.5253882,130.37345746996692
N1,1000230,link,Z,Km post missing,22.9248882,91.5213327,998.5637361940238
N1,1000231,link,Z,Km post missing,22.9329716,91.5172216,992.5494208823386
N1,1000232,link,Z,Km post missing,22.940833,91.5124444,1001.7244225256587
N1,1000233,link,Z,Road to Chhagalnaiya (Z1032),22.9439441,91.5108611,382.0459686173813
N1,1000234,link,Z,Ctg 81 kkm,22.9482774,91.50725,607.3677448615989
N1,1000235,bridge,B,MUHURI BRIDGE,22.9496126090047,91.502066899526,191.5
N1,1000236,bridge,B,Muhuri Bridge(L),22.9496126090047,91.502066899526,193.22
N1,1000237,link,Z,Bridge end,22.949583,91.5027778,480.3887645126706
N1,1000238,link,Z,Bridge start,22.9496663,91.5007778,204.99662478813678
N1,1000239,link,Z,Km post missing,22.9497774,91.4980274,281.89406297954497
N1,1000240,link,Z,Ctg 83 km,22.9497497,91.4883608,989.8020365832274
N1,1000241,bridge,A,FAZAILPUR BOXCULVERT,22.9486038666666,91.4794993833333,1.5
N1,1000242,link,Z,Km post missing,22.9484997,91.4786938,999.5539775599125
N1,1000243,link,Z,Road to Mounshirhat (Z1081),22.9483608,91.4761382,262.1348739495101
N1,1000244,link,Z,"Ctg 85 km,Bairyahat 10 km",22.9479997,91.4689993,732.087627630174
N1,1000245,link,Z,Km post missing,22.9514444,91.4600278,995.2808982096457
N1,1000246,link,Z,Ctg 87 km,22.9561389,91.4517778,992.9970164268642
N1,1000247,bridge,C,Lemua Bridge(L),22.9614487369369,91.4429962027027,98.87
N1,1000248,bridge,B,LAMUA BRIDGE,22.9614487369369,91.4429962027027,94.05
N1,1000249,link,Z,Km post missing,22.9611667,91.4433886,1024.8601084516645
N1,1000250,link,Z,Bridge end,22.9618056,91.4424997,115.45473844599923
N1,1000251,link,Z,Bridge start,22.9624167,91.4416941,106.86642667056385
N1,1000252,link,Z,Km post missing,22.9663333,91.4356108,759.9831007031479
N1,1000253,link,Z,Km post missing,22.9711382,91.4273882,997.0563908836276
N1,1000254,link,Z,Ctg 91 km,22.9774438,91.4205827,988.4437283501411
N1,1000255,link,Z,Ctg 91 km,22.9842219,91.4137222,1030.188124767654
N1,1000256,link,Z,Road to Sonagazi (Z1034),22.9858886,91.4120556,251.89795925452788
N1,1000257,link,Z,Road to Feni Town (Z1034),22.9877774,91.41,297.3013401329205
N1,1000258,bridge,A,.,22.9927169359869,91.4047486961832,1.9
N1,1000259,link,Z,"Ctg 93 km,Lalpole 1 km",22.9906941,91.4072222,431.3205186216557
N1,1000260,bridge,A,RAMPUR BRIDGE,22.9947280792802,91.4022894900763,23.4
N1,1000261,bridge,A,Rampur Bridge(R),22.9945936133042,91.4024539137404,22.15
N1,1000262,bridge,B,Rampur Bridge(L),22.9947280792802,91.4022894900763,22.86
N1,1000263,link,Z,Bridge end,22.9960552,91.4006667,897.57508694061
N1,1000264,link,Z,Bridge start,22.9961941,91.4005,23.01517402232766
N1,1000265,link,Z,Km post missing,22.9963886,91.3998052,74.33431845161775
N1,1000266,bridge,A,RAMPUR BOX CULVERT,22.999248756,91.3957752,1.5
N1,1000267,link,Z,Ctg 95 km,23.0018889,91.3920552,1001.6599132539068
N1,1000268,bridge,A,CHARIPUR CULVERT.,23.0124048410423,91.3779796149837,3.4
N1,1000269,link,Z,Km post missing,23.0132778,91.3769438,1998.963954534788
N1,1000270,link,Z,Box culvert,23.0140833,91.3759716,133.87520084867612
N1,1000271,link,Z,Box culvert,23.0185271,91.3708327,721.6410971564712
N1,1000272,link,Z,"Ctg 98 km,Feni 2 km",23.0193604,91.3697771,142.32496168094818
N1,1000273,link,Z,Road to Biroli (Z1030),23.0248327,91.3655278,747.9121404596016
N1,1000274,bridge,A,DEBIPUR SLAB CULVERT,23.0269801170731,91.3655004839721,1.6
N1,1000275,link,Z,"Ctg 99 km,Feni 3 km",23.0269716,91.3655,237.85184328577293
N1,1000276,link,Z,Km post missing,23.0360274,91.36575,1007.2839449191423
N1,1000277,bridge,A,FATAPUR BOX CULVERT,23.0379728055555,91.3656784724359,10.8
N1,1000278,link,Z,Rail Road Crossing,23.0398052,91.3656111,420.31257713498354
N1,1000279,link,Z,Box culvert,23.0427774,91.3654444,330.9334523100862
N1,1000280,link,Z,Ctg 101 km,23.0449719,91.3653611,244.16608145743996
N1,1000281,link,Z,Ctg 102 km,23.0538611,91.3637222,1002.5573428617755
N1,1000282,bridge,B,MOHAMMAD ALI MAZAR,23.0607473333333,91.3618624619047,4.0
N1,1000283,link,Z,Ctg 103 km,23.0635278,91.3616389,1095.8169124733008
N1,1000284,link,Z,Box Culvert,23.0636944,91.3616389,18.525074778985346
N1,1000285,link,Z,Start of Feni road Division / Start of Feni road Division,23.0688604,91.3607222,582.0382596272461
N1,1000286,bridge,B,DUTHOSHA BOX CULVERT,23.070198184,91.3603022,6.1
N1,1000287,link,Z,Km post missing,23.0712493,91.3599722,276.4926315248715
N1,1000288,bridge,B,KOKALI BOX CULVERT,23.0779647046997,91.3566005031331,14.2
N1,1000289,link,Z,Ctg 122 km,23.0792493,91.3558333,985.1830489728923
N1,1000290,link,Z,Bridge end,23.0806938,91.3549444,184.57343831428082
N1,1000291,bridge,A,UTTOR KAIEATI CULVERT,23.0819909531309,91.3541811474383,3.5
N1,1000292,link,Z,Bridge start,23.0808049,91.3548611,15.007480370629768
N1,1000293,link,Z,Box culvertt,23.0849719,91.3524722,523.8392484618606
N1,1000294,bridge,B,FOEALTPARA BOX CULVERT,23.0870753710144,91.3512101492753,9.25
N1,1000295,link,Z,Km post missing,23.0876108,91.3508889,335.1598657441866
N1,1000296,bridge,A,PODOYA BOX CULVERT,23.0930298369186,91.3478308386627,3.1
N1,1000297,bridge,B,ADONCORA,23.0973512527272,91.3454956309091,9.5
N1,1000298,link,Z,Km post missing,23.095583,91.3464441,996.2548101744713
N1,1000299,bridge,B,CHANGARPULL(II) BOX CULVERT,23.1017563206521,91.343162998913,3.1
N1,1000300,link,Z,Km post missing,23.1035,91.3422497,979.2979592645255
N1,1000301,bridge,A,Chanara Box Culvert,23.1074284451388,91.3400495436111,6.1
N1,1000302,link,Z,Box culvert,23.1051111,91.3413608,200.89443320833266
N1,1000303,link,Z,Km post missing,23.1113611,91.3378052,784.357628674511
N1,1000304,bridge,B,FOKIR BAZAR SLAB CULVERT,23.1196973774193,91.3328165129032,4.5
N1,1000305,bridge,B,KAKKARA CULVERT,23.1158251554,91.335094485,5.3
N1,1000306,link,Z,"Ctg 127 km,Feni 16 km",23.1191382,91.3330827,990.4971245133898
N1,1000307,link,Z,Km post missing,23.1213327,91.3320549,265.6913813830176
N1,1000308,bridge,A,HASO BOTHACH BOX CULVERT,23.1252363577777,91.3303863688888,6.5
N1,1000309,link,Z,Box culvert,23.1234993,91.3311382,258.51098748596013
N1,1000310,bridge,B,JAGOT PUR BOX CULVERT,23.1332639685968,91.327546416481,3.0
N1,1000311,link,Z,Km post missing,23.1295827,91.3284993,728.2825772713541
